Modelo;Cam_X_Robot;Cam_Y_Robot;Cam_Z_Robot;Robot_Pred_X;Robot_Pred_Y;Robot_Pred_Z;Robot_Real_X;Robot_Real_Y;Robot_Real_Z;Tiempo_Ms
LINEAL;0.07191822341581526;0.0989406633904372;1.3767860504267808;-0.11196053600795114;-0.6025142071261973;-0.12903460864478353;-0.14824415713542116;-0.6752525389205803;-0.1300389159808007;0.017299998944508843
LINEAL;0.07952426658499129;0.09821773051536686;1.363404951803259;-0.11764824365452223;-0.6092263117922876;-0.12959542547786698;-0.15678419621374634;-0.677678559214271;-0.12996298458959937;0.013999999282532372
LINEAL;0.0882212257291676;0.09861063743885881;1.355376292629146;-0.12415172515285389;-0.6132535745919419;-0.12929062703235727;-0.1647987737495316;-0.6798460494493965;-0.1299990407859111;0.014600000213249587
LINEAL;0.09579360406258583;0.0979837729162227;1.3388779379606088;-0.129814258639944;-0.6215293288083288;-0.12977691862107904;-0.17197944180795224;-0.6815554271261345;-0.13012735552853835;0.01489999885961879
LINEAL;0.10357181360037905;0.09760765420264103;1.3289789251594866;-0.1356307102272851;-0.626494781338161;-0.1300686935743121;-0.17892601797073474;-0.6830780205069679;-0.13010239901881704;0.014600000213249587
LINEAL;0.11147352186079727;0.09738198297449202;1.3230395174788132;-0.14153951267477677;-0.6294740528560604;-0.13024375854625195;-0.18611475401657818;-0.6846928345834788;-0.12999909376754504;0.014600000213249587
LINEAL;0.1194493293547905;0.0980552758720382;1.3194758728704092;-0.14750372563835884;-0.6312616157668;-0.12972145003938995;-0.19320208755002088;-0.6862974816394432;-0.12993520394464586;0.01469999915570952
LINEAL;0.1262823623724169;0.09761614339594159;1.3061535975440237;-0.15261338558627058;-0.6379442140270045;-0.1300621080631721;-0.2008513239770612;-0.687880897258667;-0.12998469737138935;0.013999999282532372
LINEAL;0.13561289437168242;0.09819577212490793;1.3093443209095355;-0.1595906452492009;-0.6363437124693665;-0.12961245974954205;-0.20826505437804957;-0.6895125877040901;-0.130123391591078;0.017899999875226058
LINEAL;0.14231241613728163;0.09849193049200464;1.3000746663674996;-0.16460046708783982;-0.6409934720485443;-0.12938271421817418;-0.21560807225415468;-0.6912649039778688;-0.1300783791853496;0.014999999621068127
LINEAL;0.15028957591834713;0.09866962551226266;1.294512873642278;-0.17056569127543814;-0.6437833277960511;-0.12924486689935344;-0.22248717277519806;-0.6929713130621733;-0.13000765487851418;0.013900000340072438
LINEAL;0.1568237440890733;0.09795177445739539;1.2804577131358579;-0.17545186368361376;-0.6508335492369093;-0.1298017414987789;-0.2323638940627529;-0.6955630655755212;-0.13000577446059025;0.014600000213249587
LINEAL;0.16384424492351196;0.09752106382447502;1.272024616832006;-0.18070170981131078;-0.6550636821014241;-0.13013586625843418;-0.23980402873544143;-0.6972492660231333;-0.13008018890639725;0.014900000678608194
LINEAL;0.17193154533917898;0.0972626374447228;1.2669647590496949;-0.1867492958414188;-0.657601761820133;-0.13033634111422734;-0.24760359747283892;-0.6985965796600556;-0.13011654825771934;0.015200001143966801
LINEAL;0.18230786163762713;0.09872353902823475;1.2746469292515952;-0.19450858043147945;-0.6537483016590042;-0.1292030433658962;-0.2552668965147869;-0.6994259546158589;-0.13001841155024005;0.014799999917158857
LINEAL;0.18758063363473415;0.09795248991461125;1.2582575344820506;-0.19845149594477912;-0.66196940040449;-0.12980118648120556;-0.26367694626149213;-0.6992578950857107;-0.12998554368848608;0.014600000213249587
LINEAL;0.1945402151170837;0.09748986044643715;1.2484238976203237;-0.2036557873133203;-0.6669020596517816;-0.13016007235039118;-0.27065458045991986;-0.6975574626732799;-0.1300758792104184;0.01449999945180025
LINEAL;0.20251188229057876;0.09797146642234977;1.2425237155032876;-0.20961690419500628;-0.6698616552001565;-0.12978646541187827;-0.27704684471099056;-0.6944499735098832;-0.1300443036307917;0.013999999282532372
LINEAL;0.21033161722194407;0.09826043000789733;1.238983606233066;-0.21546440797246696;-0.6716374125291814;-0.1295623012487705;-0.2828549073720518;-0.690362558196773;-0.13000039597726176;0.029699998776777647
LINEAL;0.2154789683748535;0.09764425715613612;1.226990153132311;-0.21931353528621073;-0.677653459102413;-0.13004029874933112;-0.28798527775441746;-0.6853714411674092;-0.13003339748807444;0.015099998563528061
LINEAL;0.2234261544702284;0.09806410444816915;1.2296634688104802;-0.2252563455119755;-0.6763124948705352;-0.1297146012512422;-0.29263899861850395;-0.6796169464972955;-0.1299116093230159;0.013900000340072438
LINEAL;0.2312312007547216;0.09831601282338898;1.2312674582173815;-0.23109286529588335;-0.6755079163314087;-0.12951918275238888;-0.2966721322161038;-0.6733371114707319;-0.12994304305618776;0.014299999747890979
LINEAL;0.23743259583905163;0.09846715784852086;1.2322298518615222;-0.23573019399045259;-0.6750251692079328;-0.12940193165307687;-0.3001255296370092;-0.6667858890816599;-0.13004279891195636;0.014200000805431046
LINEAL;0.24553455524253148;0.09938029382515182;1.2430879000674044;-0.24178874183542526;-0.6695786540840383;-0.12869356432846335;-0.30431647032251036;-0.657415071491038;-0.130028687117383;0.014500001270789653
LINEAL;0.2519457308506209;0.09992817541113039;1.2496027289909337;-0.2465829418838048;-0.6663107450097016;-0.12826854393369522;-0.3072274751182385;-0.6502666710783805;-0.13011404957640388;0.015600000551785342
LINEAL;0.25734243618147606;0.10025690436271753;1.2535116263450514;-0.25061853325422834;-0.6643499995650994;-0.12801353169683435;-0.3097642367513057;-0.6432634899660481;-0.12997002536976276;0.015300000086426735
